  41.33
3079.00
  96824149
Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1980 01 01 12	32511.63	0.00	186.37	0.00	2.67	-5.24	421.34
1980 01 02 12	32832.00	0.00	239.53	0.00	-0.68	-11.90	246.95
1980 01 03 12	32832.00	0.00	229.54	0.00	-4.72	-14.96	194.08
1980 01 04 12	32832.00	0.00	89.43	0.00	-1.64	-5.04	431.92
1980 01 05 12	32832.00	0.00	155.69	0.00	2.93	-3.40	480.00
1980 01 06 12	32832.00	5.39	233.57	0.00	4.40	-15.99	171.60
1980 01 07 12	32832.00	0.00	285.99	0.00	-4.73	-18.86	137.54
1980 01 08 12	33177.61	7.30	61.07	0.00	-8.98	-11.59	240.70
1980 01 09 12	33177.61	0.69	151.24	0.00	-0.80	-6.54	360.88
1980 01 10 12	33177.61	11.91	136.98	0.00	-2.93	-9.70	280.02
1980 01 11 12	33177.61	0.00	311.53	0.00	-2.54	-18.52	146.32
1980 01 12 12	33177.61	13.82	159.67	0.00	1.22	-6.75	360.00
1980 01 13 12	33523.21	16.16	75.54	0.00	2.50	-0.95	564.78
1980 01 14 12	33523.21	10.28	110.48	0.00	4.07	-1.14	560.21
1980 01 15 12	33523.21	0.00	161.23	0.00	-0.11	-5.73	401.16
1980 01 16 12	33523.21	0.00	294.69	0.00	-1.09	-13.83	211.49
1980 01 17 12	33868.80	0.00	255.83	0.00	-0.60	-10.34	276.83
1980 01 18 12	33868.80	0.00	179.88	0.00	-3.63	-9.79	284.04
1980 01 19 12	33868.80	0.00	278.78	0.00	-8.34	-19.03	133.78
1980 01 20 12	34154.65	0.00	349.32	0.00	-2.77	-22.09	111.60
1980 01 21 12	34214.40	0.00	354.45	0.00	-0.45	-21.44	114.65
1980 01 22 12	34214.40	0.00	326.98	0.00	-1.75	-16.06	174.75
1980 01 23 12	34214.40	0.00	335.70	0.00	0.22	-14.84	197.27
1980 01 24 12	34560.00	0.00	281.55	0.00	2.97	-7.46	351.66
1980 01 25 12	34560.00	5.50	258.49	0.00	-1.22	-16.48	167.95
1980 01 26 12	34560.00	7.28	182.70	0.00	-19.12	-27.03	74.80
1980 01 27 12	34905.60	12.19	259.20	0.00	-10.84	-24.60	80.00
1980 01 28 12	34905.60	9.70	196.74	0.00	-12.79	-21.16	120.00
1980 01 29 12	34930.82	11.46	275.85	0.00	-7.09	-22.03	120.00
1980 01 30 12	35251.20	5.04	274.87	0.00	-6.63	-20.90	120.00
1980 01 31 12	35251.20	0.00	397.11	0.00	-4.23	-23.16	82.15
1980 02 01 12	35596.79	0.00	330.89	0.00	-1.88	-13.42	216.86
1980 02 02 12	35596.79	0.00	150.51	0.00	-0.12	-4.43	440.00
1980 02 03 12	35596.79	0.00	227.29	0.00	3.16	-3.69	464.62
1980 02 04 12	35942.39	3.26	144.54	0.00	0.22	-5.36	411.80
1980 02 05 12	35942.39	0.00	366.43	0.00	0.61	-12.17	240.00
1980 02 06 12	36228.26	0.00	366.77	0.00	5.23	-7.56	352.91
1980 02 07 12	36288.00	9.68	248.47	0.00	0.00	-10.40	280.00
1980 02 08 12	36288.00	0.00	419.46	0.00	-8.43	-25.55	80.00
1980 02 09 12	36633.59	0.00	414.20	0.00	-9.92	-26.24	80.00
1980 02 10 12	36633.59	0.00	419.14	0.00	0.43	-16.37	160.00
1980 02 11 12	36979.20	0.00	415.91	0.00	-0.27	-16.56	160.00
1980 02 12 12	36979.20	0.00	405.35	0.00	0.35	-15.03	200.00
1980 02 13 12	36979.20	0.00	159.22	0.00	-2.92	-7.43	352.25
1980 02 14 12	37324.80	0.00	384.79	0.00	4.21	-9.58	294.23
1980 02 15 12	37324.80	9.71	271.87	0.00	1.82	-10.15	280.02
1980 02 16 12	37670.41	0.00	460.60	0.00	0.60	-20.36	124.89
1980 02 17 12	37670.41	0.00	318.16	0.00	2.52	-7.53	357.04
1980 02 18 12	38016.00	0.00	168.42	0.00	4.17	-0.65	587.96
1980 02 19 12	38016.00	0.00	106.44	0.00	0.70	-1.93	533.38
1980 02 20 12	38361.62	7.19	253.65	0.00	2.93	-6.80	366.35
1980 02 21 12	38361.62	0.00	299.85	0.00	1.81	-6.24	381.53
1980 02 22 12	38361.62	0.00	357.65	0.00	1.12	-8.78	315.17
1980 02 23 12	38707.21	0.00	392.25	0.00	-2.21	-13.36	220.30
1980 02 24 12	38707.21	0.00	500.62	0.00	1.58	-18.65	144.95
1980 02 25 12	39052.80	0.00	373.69	0.00	0.42	-9.85	280.00
1980 02 26 12	39052.80	0.00	345.55	0.00	4.98	-4.16	440.95
1980 02 27 12	39398.39	0.00	361.83	0.00	7.88	-1.89	535.51
1980 02 28 12	39398.39	0.00	385.96	0.00	8.12	-2.37	513.51
1980 02 29 12	39744.00	6.36	323.51	0.00	5.61	-6.43	365.75
1980 03 01 12	39744.00	5.38	375.59	0.00	-1.85	-17.43	159.87
1980 03 02 12	40089.59	0.00	507.36	0.00	3.98	-12.18	240.00
1980 03 03 12	40089.59	3.39	275.76	0.00	5.91	-2.44	518.46
1980 03 04 12	40435.22	5.86	387.35	0.00	2.28	-14.51	200.90
1980 03 05 12	40435.22	0.00	258.51	0.00	0.55	-5.50	400.00
1980 03 06 12	40780.80	2.19	245.71	0.00	-0.63	-6.47	375.21
1980 03 07 12	40780.80	0.00	488.39	0.00	1.74	-11.76	247.49
1980 03 08 12	41126.40	0.00	380.31	0.00	-1.53	-10.49	274.97
1980 03 09 12	41126.40	0.00	197.34	0.00	-2.23	-6.31	375.59
1980 03 10 12	41472.00	0.00	336.92	0.00	2.87	-4.38	440.00
1980 03 11 12	41472.00	0.00	469.28	0.00	3.34	-7.73	344.05
1980 03 12 12	41817.60	4.97	338.23	0.00	1.06	-8.95	307.93
1980 03 13 12	41817.60	0.00	334.29	0.00	-4.56	-11.16	266.94
1980 03 14 12	42163.19	0.00	535.63	0.00	4.58	-8.84	312.58
1980 03 15 12	42163.19	0.00	206.08	0.00	1.21	-2.56	513.48
1980 03 16 12	42508.81	2.22	541.41	0.00	0.65	-14.14	204.31
1980 03 17 12	42508.81	0.00	626.64	0.00	2.81	-20.94	116.61
1980 03 18 12	42854.39	0.00	547.36	0.00	5.25	-7.96	332.01
1980 03 19 12	42854.39	0.00	528.72	0.00	4.29	-8.04	329.48
1980 03 20 12	43200.00	3.12	464.27	0.00	1.11	-18.56	147.72
1980 03 21 12	43200.00	0.00	532.80	0.00	4.87	-7.97	336.14
1980 03 22 12	43200.00	4.99	309.53	0.00	0.78	-7.80	338.45
1980 03 23 12	43545.61	0.00	597.00	0.00	2.22	-13.89	208.09
1980 03 24 12	43545.61	0.00	594.51	0.00	-0.26	-16.00	176.65
1980 03 25 12	43891.20	3.88	443.85	0.00	1.56	-11.46	255.92
1980 03 26 12	43891.20	5.67	373.74	0.00	-0.18	-10.92	269.04
1980 03 27 12	44236.79	0.00	624.01	0.00	-1.97	-18.76	142.39
1980 03 28 12	44236.79	4.99	243.05	0.00	-1.22	-7.46	352.59
1980 03 29 12	44582.39	0.00	479.15	0.00	-1.20	-11.08	268.61
1980 03 30 12	44582.39	0.00	630.14	0.00	2.68	-13.86	208.70
1980 03 31 12	44928.00	2.53	276.05	0.00	-3.33	-9.20	306.87
1980 04 01 12	44928.00	4.04	460.79	0.00	-5.53	-19.78	128.69
1980 04 02 12	45273.61	3.05	377.99	0.00	-6.46	-14.59	197.71
1980 04 03 12	45273.61	5.08	471.44	0.00	-3.88	-17.46	155.30
1980 04 04 12	45619.19	0.00	440.09	0.00	1.50	-6.81	360.00
1980 04 05 12	45619.19	0.00	651.47	0.00	4.67	-11.57	253.54
1980 04 06 12	45964.80	0.26	384.86	0.00	1.93	-5.29	412.66
1980 04 07 12	45964.80	2.91	387.61	0.00	-3.91	-12.67	233.90
1980 04 08 12	46310.39	0.00	488.19	0.00	-3.35	-12.69	232.25
1980 04 09 12	46310.39	0.00	687.50	0.00	4.57	-13.84	207.99
1980 04 10 12	46655.99	5.25	303.06	0.00	0.49	-5.99	392.84
1980 04 11 12	46655.99	7.28	300.13	0.00	-3.51	-10.74	272.81
1980 04 12 12	47001.61	0.00	700.35	0.00	-3.67	-21.71	113.29
1980 04 13 12	47001.61	0.00	700.47	0.00	-1.62	-19.68	127.44
1980 04 14 12	47347.20	0.00	622.99	0.00	3.75	-10.39	263.13
1980 04 15 12	47347.20	0.00	544.53	0.00	6.31	-5.01	396.94
1980 04 16 12	47692.81	0.00	526.96	0.00	3.35	-6.97	351.91
1980 04 17 12	47692.81	0.00	650.78	0.00	4.75	-9.82	260.75
1980 04 18 12	48038.38	0.00	670.52	0.00	9.24	-6.56	318.82
1980 04 19 12	48038.38	0.00	680.55	0.00	12.25	-4.02	369.59
1980 04 20 12	48038.38	0.00	639.23	0.00	12.56	-1.74	446.49
1980 04 21 12	48384.00	0.00	644.97	0.00	14.02	-0.74	468.50
1980 04 22 12	48384.00	0.00	572.18	0.00	12.70	0.81	561.37
1980 04 23 12	48729.59	14.39	263.27	0.00	7.62	1.47	674.41
1980 04 24 12	48729.59	0.00	283.94	0.00	3.35	-1.53	549.96
1980 04 25 12	49075.20	0.00	554.91	0.00	5.88	-4.75	411.14
1980 04 26 12	49075.20	0.00	639.00	0.00	6.60	-6.45	331.71
1980 04 27 12	49420.79	0.00	650.04	0.00	9.05	-4.70	353.42
1980 04 28 12	49420.79	0.00	646.79	0.00	10.81	-2.99	376.22
1980 04 29 12	49420.79	0.00	599.50	0.00	12.49	0.52	471.33
1980 04 30 12	49766.40	0.00	465.74	0.00	9.11	0.59	548.29
1980 05 01 12	49766.40	0.00	329.69	0.00	3.95	-1.70	526.72
1980 05 02 12	50112.00	0.63	536.87	0.00	7.77	-2.57	412.08
1980 05 03 12	50112.00	6.27	401.36	0.00	9.85	-0.10	556.21
1980 05 04 12	50171.75	0.00	648.41	0.00	10.31	-3.09	355.50
1980 05 05 12	50457.61	13.94	355.89	0.00	9.71	1.24	639.35
1980 05 06 12	50457.61	3.85	333.66	0.00	9.51	1.61	676.94
1980 05 07 12	50803.20	0.00	582.60	0.00	10.64	-0.49	480.65
1980 05 08 12	50803.20	3.00	317.84	0.00	9.85	2.39	717.50
1980 05 09 12	50803.20	4.20	435.84	0.00	10.28	-0.63	538.67
1980 05 10 12	51148.79	3.03	435.31	0.00	11.39	0.30	577.75
1980 05 11 12	51148.79	12.23	461.91	0.00	12.01	-0.42	540.67
1980 05 12 12	51469.18	12.78	232.11	0.00	1.58	-3.41	476.39
1980 05 13 12	51494.40	2.92	478.23	0.00	3.88	-7.23	355.85
1980 05 14 12	51494.40	0.00	632.71	0.00	6.60	-5.27	369.19
1980 05 15 12	51840.00	0.00	275.49	0.00	5.23	0.85	641.31
1980 05 16 12	51840.00	0.00	607.95	0.00	8.17	-2.74	436.74
1980 05 17 12	51840.00	10.69	253.85	0.00	3.29	-1.89	534.21
1980 05 18 12	52185.60	0.00	653.01	0.00	6.04	-5.82	352.11
1980 05 19 12	52185.60	4.51	584.38	0.00	12.64	0.04	536.60
1980 05 20 12	52185.60	2.00	676.62	0.00	12.65	-0.36	485.94
1980 05 21 12	52245.34	0.00	742.67	0.00	16.78	-1.15	413.83
1980 05 22 12	52531.21	0.00	735.99	0.00	19.56	1.55	487.46
1980 05 23 12	52531.21	0.00	729.99	0.00	20.53	2.21	507.82
1980 05 24 12	52531.21	0.00	757.10	0.00	20.65	-3.05	339.81
1980 05 25 12	52876.80	0.00	753.66	0.00	15.19	-6.94	268.56
1980 05 26 12	52876.80	0.00	549.49	0.00	8.63	-1.81	489.46
1980 05 27 12	52876.80	0.00	671.29	0.00	16.31	1.29	516.73
1980 05 28 12	52876.80	0.00	682.44	0.00	17.55	1.79	524.02
1980 05 29 12	53222.40	0.00	631.33	0.00	15.66	2.27	575.32
1980 05 30 12	53222.40	0.00	693.69	0.00	14.24	-2.28	389.74
1980 05 31 12	53222.40	0.00	572.48	0.00	11.98	0.20	522.32
1980 06 01 12	53222.40	0.00	595.88	0.00	10.52	-1.90	449.90
1980 06 02 12	53222.40	0.00	642.15	0.00	11.71	-2.60	397.26
1980 06 03 12	53568.00	0.00	596.42	0.00	17.37	4.28	625.99
1980 06 04 12	53568.00	0.00	709.27	0.00	18.95	-0.34	396.39
1980 06 05 12	53568.00	0.00	530.84	0.00	17.80	6.20	752.89
1980 06 06 12	53568.00	0.00	552.97	0.00	17.09	4.87	675.20
1980 06 07 12	53568.00	0.00	649.20	0.00	14.22	-1.71	398.21
1980 06 08 12	53568.00	0.00	662.93	0.00	16.89	-0.23	422.75
1980 06 09 12	53888.38	0.00	634.98	0.00	17.59	1.61	489.96
1980 06 10 12	53913.60	0.00	630.24	0.00	21.15	4.78	596.10
1980 06 11 12	53913.60	0.00	602.87	0.00	22.43	6.74	678.15
1980 06 12 12	53913.60	0.00	590.91	0.00	21.31	5.99	658.51
1980 06 13 12	53913.60	0.00	533.93	0.00	19.33	6.02	716.11
1980 06 14 12	53913.60	0.00	558.70	0.00	19.55	4.99	649.21
1980 06 15 12	53913.60	0.00	611.35	0.00	15.58	-1.12	411.57
1980 06 16 12	53913.60	0.00	526.91	0.00	12.51	-0.93	465.74
1980 06 17 12	53913.60	0.00	574.72	0.00	17.24	1.49	504.54
1980 06 18 12	53913.60	0.00	509.64	0.00	20.49	6.75	759.31
1980 06 19 12	53913.60	0.00	459.38	0.00	19.33	7.28	831.19
1980 06 20 12	53913.60	0.00	537.38	0.00	19.52	4.59	631.64
1980 06 21 12	53913.60	0.00	492.43	0.00	19.98	6.62	745.05
1980 06 22 12	53913.60	0.00	517.98	0.00	19.58	5.30	663.06
1980 06 23 12	53913.60	0.00	485.82	0.00	21.96	8.87	857.86
1980 06 24 12	53913.60	0.00	519.73	0.00	20.11	5.89	672.48
1980 06 25 12	53913.60	0.00	610.75	0.00	22.74	3.24	470.12
1980 06 26 12	53913.60	0.00	523.85	0.00	23.26	8.35	748.66
1980 06 27 12	53913.60	0.00	496.69	0.00	23.30	9.52	819.44
1980 06 28 12	53913.60	0.00	617.84	0.00	17.82	-2.41	324.10
1980 06 29 12	53913.60	0.00	638.89	0.00	21.90	-1.23	324.94
1980 06 30 12	53913.60	0.00	391.38	0.00	21.65	11.09	1047.78
1980 07 01 12	53913.60	0.00	414.65	0.00	20.29	9.24	891.38
1980 07 02 12	53627.75	10.85	211.95	0.00	16.78	9.53	1189.27
1980 07 03 12	53568.00	4.12	268.36	0.00	16.66	7.32	978.29
1980 07 04 12	53568.00	0.00	499.76	0.00	19.02	5.18	630.60
1980 07 05 12	53568.00	0.00	499.19	0.00	21.43	7.22	712.49
1980 07 06 12	53568.00	0.00	525.15	0.00	22.93	7.24	678.45
1980 07 07 12	53568.00	0.69	448.60	0.00	22.69	9.79	888.62
1980 07 08 12	53542.77	8.85	359.06	0.00	19.90	6.38	821.17
1980 07 09 12	53222.40	0.00	507.24	0.00	21.32	6.66	706.14
